Adapted start,Adapted end,Classification,,,,,
306.75,307.25,traffic,,,,,
307.25,307.75,traffic,,,,,
307.75,308.25,traffic,,,,,
308.25,308.75,other,,,,,
308.75,309.25,traffic,,,,,
309.25,309.75,traffic,,,,,
309.75,310.25,traffic,,,,,
310.25,310.75,other,,,,,
310.75,311.25,traffic,,,,,
311.25,311.75,other,,,,,
311.75,312.25,traffic,,,,,
312.25,312.75,other,,,,,
312.75,313.25,traffic,,,,,
313.25,313.75,traffic,,,,,
313.75,314.25,traffic,,,,,
314.25,314.75,traffic,,,,,
314.75,315.25,other,,,,,
315.25,315.75,other,,,,,
315.75,316.25,traffic,,,,,
316.25,316.75,traffic,,,,,
316.75,317.25,traffic,,,,,
317.25,317.75,traffic,,,,,
317.75,318.25,other,,,,,
318.25,318.75,other,,,,,
318.75,319.25,traffic,,,,,
319.25,319.75,other,,,,,
319.75,320.25,traffic,,,,,
320.25,320.75,traffic,,,,,
320.75,321.25,traffic,,,,,
321.25,321.75,traffic,,,,,
321.75,322.25,traffic,,,,,
322.25,322.75,traffic,,,,,
322.75,323.25,traffic,,,,,
323.25,323.75,traffic,,,,,
323.75,324.25,traffic,,,,,
324.25,324.75,traffic,,,,,
324.75,325.25,traffic,,,,,
325.25,325.75,traffic,,,,,
325.75,326.25,traffic,,,,,
326.25,326.75,traffic,,,,,
326.75,327.25,traffic,,,,,
327.25,327.75,traffic,,,,,
327.75,328.25,other,,,,,
328.25,328.75,other,,,,,
328.75,329.25,other,,,,,
329.25,329.75,traffic,,,,,
329.75,330.25,traffic,,,,,
330.25,330.75,traffic,,,,,
330.75,331.25,traffic,,,,,
331.25,331.75,traffic,,,,,
331.75,332.25,traffic,,,,,
332.25,332.75,other,,,,,
332.75,333.25,traffic,,,,,
333.25,333.75,traffic,,,,,
333.75,334.25,traffic,,,,,
334.25,334.75,traffic,,,,,
334.75,335.25,traffic,,,,,
335.25,335.75,traffic,,,,,
335.75,336.25,traffic,,,,,
336.25,336.75,traffic,,,,,
336.75,337.25,traffic,,,,,
337.25,337.75,traffic,,,,,
337.75,338.25,traffic,,,,,
338.25,338.75,traffic,,,,,
338.75,339.25,traffic,,,,,
339.25,339.75,traffic,,,,,
339.75,340.25,traffic,,,,,
340.25,340.75,traffic,,,,,
340.75,341.25,traffic,,,,,
341.25,341.75,traffic,,,,,
341.75,342.25,other,,,,,
342.25,342.75,traffic,,,,,
342.75,343.25,traffic,,,,,
343.25,343.75,other,,,,,
343.75,344.25,traffic,,,,,
344.25,344.75,traffic,,,,,
344.75,345.25,traffic,,,,,
345.25,345.75,traffic,,,,,
345.75,346.25,traffic,,,,,
346.25,346.75,traffic,,,,,
346.75,347.25,traffic,,,,,
347.25,347.75,traffic,,,,,
347.75,348.25,traffic,,,,,
348.25,348.75,traffic,,,,,
348.75,349.25,traffic,,,,,
349.25,349.75,other,,,,,
349.75,350.25,traffic,,,,,
350.25,350.75,traffic,,,,,
350.75,351.25,traffic,,,,,
351.25,351.75,traffic,,,,,
351.75,352.25,traffic,,,,,
352.25,352.75,traffic,,,,,
352.75,353.25,traffic,,,,,
353.25,353.75,traffic,,,,,
353.75,354.25,traffic,,,,,
354.25,354.75,traffic,,,,,
354.75,355.25,traffic,,,,,
355.25,355.75,traffic,,,,,
355.75,356.25,traffic,,,,,
356.25,356.75,traffic,,,,,
356.75,357.25,other,,,,,
357.25,357.75,other,,,,,
357.75,358.25,other,,,,,
358.25,358.75,other,,,,,
358.75,359.25,other,,,,,
359.25,359.75,other,,,,,
359.75,360.25,other,,,,,
360.25,360.75,other,,,,,
360.75,361.25,traffic,,,,,
361.25,361.75,other,,,,,
361.75,362.25,other,,,,,
362.25,362.75,traffic,,,,,
362.75,363.25,traffic,,,,,
363.25,363.75,traffic,,,,,
363.75,364.25,traffic,,,,,
364.25,364.75,traffic,,,,,
364.75,365.25,traffic,,,,,
365.25,365.75,traffic,,,,,
365.75,366.25,traffic,,,,,
366.25,366.75,traffic,,,,,
366.75,367.25,other,,,,,
367.25,367.75,traffic,,,,,
367.75,368.25,traffic,,,,,
368.25,368.75,traffic,,,,,
368.75,369.25,traffic,,,,,
369.25,369.75,traffic,,,,,
369.75,370.25,traffic,,,,,
370.25,370.75,traffic,,,,,
370.75,371.25,other,,,,,
371.25,371.75,traffic,,,,,
371.75,372.25,traffic,,,,,
372.25,372.75,traffic,,,,,
372.75,373.25,traffic,,,,,
373.25,373.75,traffic,,,,,
373.75,374.25,traffic,,,,,
374.25,374.75,other,,,,,
374.75,375.25,traffic,,,,,
375.25,375.75,other,,,,,
375.75,376.25,traffic,,,,,
376.25,376.75,traffic,,,,,
376.75,377.25,traffic,,,,,
377.25,377.75,traffic,,,,,
377.75,378.25,traffic,,,,,
378.25,378.75,traffic,,,,,
378.75,379.25,traffic,,,,,
379.25,379.75,traffic,,,,,
379.75,380.25,other,,,,,
380.25,380.75,other,,,,,
380.75,381.25,traffic,,,,,
381.25,381.75,traffic,,,,,
381.75,382.25,traffic,,,,,
382.25,382.75,traffic,,,,,
382.75,383.25,traffic,,,,,
383.25,383.75,traffic,,,,,
383.75,384.25,traffic,,,,,
384.25,384.75,traffic,,,,,
384.75,385.25,traffic,,,,,
385.25,385.75,traffic,,,,,
385.75,386.25,traffic,,,,,
386.25,386.75,other,,,,,
386.75,387.25,other,,,,,
387.25,387.75,other,,,,,
387.75,388.25,traffic,,,,,
388.25,388.75,traffic,,,,,
388.75,389.25,other,,,,,
389.25,389.75,other,,,,,
389.75,390.25,traffic,,,,,
390.25,390.75,other,,,,,
390.75,391.25,other,,,,,
391.25,391.75,traffic,,,,,
391.75,392.25,traffic,,,,,
392.25,392.75,traffic,,,,,
392.75,393.25,other,,,,,
393.25,393.75,traffic,,,,,
393.75,394.25,traffic,,,,,
394.25,394.75,traffic,,,,,
394.75,395.25,traffic,,,,,
395.25,395.75,traffic,,,,,
395.75,396.25,traffic,,,,,
396.25,396.75,traffic,,,,,
396.75,397.25,traffic,,,,,
397.25,397.75,traffic,,,,,
397.75,398.25,traffic,,,,,
398.25,398.75,traffic,,,,,
398.75,399.25,traffic,,,,,
399.25,399.75,traffic,,,,,
399.75,400.25,other,,,,,
400.25,400.75,traffic,,,,,
400.75,401.25,traffic,,,,,
401.25,401.75,traffic,,,,,
401.75,402.25,traffic,,,,,
402.25,402.75,traffic,,,,,
402.75,403.25,traffic,,,,,
403.25,403.75,traffic,,,,,
403.75,404.25,traffic,,,,,
404.25,404.75,traffic,,,,,
